T,49.227887596,20.207564559,1653.1,,
T,49.227627519,20.206866973,1615.3,,
T,49.227204135,20.205944727,1600.6,,
T,49.226905353,20.204800786,1596.3,,
T,49.226284094,20.203436215,1615.5,,
T,49.225918890,20.202547831,1655.1,,
T,49.225513588,20.201679974,1718.6,,
T,49.224916373,20.200157232,1843.1,,
T,49.224894227,20.199714855,1843.4,,
T,49.224176089,20.198422979,1913.9,,
T,49.223807512,20.197252082,1865.1,,
T,49.223629419,20.196051524,1808.9,,
T,49.223195705,20.194587650,1712.3,,
T,49.223027622,20.193132111,1618.0,,
T,49.222482624,20.192178450,1578.7,,
T,49.222046478,20.191023692,1567.6,,
T,49.221756995,20.190328861,1559.9,,
T,49.221336595,20.189158963,1555.1,,
T,49.220864721,20.188031891,1563.2,,
T,49.220236061,20.187371583,1589.7,,
T,49.219371727,20.186342477,1675.2,,
T,49.218433452,20.184947267,1824.6,,
T,49.217579211,20.184394498,1881.5,,
T,49.216872036,20.183401096,1988.7,,
T,49.216598287,20.182702106,1982.8,,
T,49.215970307,20.181216650,1890.3,,
T,49.215328802,20.179731139,1803.4,,
T,49.214683209,20.178688372,1735.2,,
T,49.214043415,20.177395628,1657.6,,
T,49.213505307,20.176390501,1606.2,,
T,49.212794165,20.175415018,1574.2,,
T,49.212215874,20.174921131,1552.0,,
T,49.211357745,20.173700005,1506.8,,
T,49.210462921,20.172541936,1503.9,,
T,49.209694661,20.171431397,1526.2,,
T,49.208883601,20.170647984,1575.6,,
T,49.208220308,20.170337624,1639.9,,
T,49.207337455,20.169760822,1790.7,,
T,49.206527378,20.169258201,1907.1,,
T,49.205910240,20.168879394,1960.2,,
T,49.205615344,20.168655435,1955.5,,
T,49.205228756,20.167600213,1880.2,,
T,49.204391473,20.166324949,1821.9,,
T,49.203684897,20.165310112,1770.4,,
T,49.203256802,20.164799225,1738.6,,
T,49.202837252,20.164027682,1699.9,,
T,49.202250702,20.163541891,1671.7,,
T,49.201646247,20.162894933,1692.7,,
T,49.201044855,20.162012997,1719.1,,
T,49.200304380,20.161314926,1720.0,,
T,49.199866281,20.160596538,1699.7,,
T,49.199283455,20.159628030,1678.0,,
T,49.198689635,20.159393523,1674.4,,
T,49.198099825,20.158905775,1669.0,,
T,49.197812977,20.158155721,1640.5,,
T,49.197080130,20.157162836,1614.2,,
T,49.196486392,20.156683833,1599.4,,
T,49.195736568,20.156013689,1596.2,,
T,49.194982915,20.155618165,1624.2,,
T,49.194224491,20.155055315,1671.1,,
T,49.193612521,20.155207779,1756.2,,
T,49.192834717,20.155387325,1927.8,,
T,49.192064100,20.155376429,2012.2,,
T,49.191309870,20.155278265,2087.0,,
T,49.190868504,20.155144955,2187.0,,
T,49.189855595,20.154764940,2098.4,,
T,49.189567485,20.154424208,2058.2,,
T,49.188840303,20.154256551,1986.9,,
T,49.187961153,20.154214702,1980.5,,
T,49.186936812,20.154449838,2043.7,,
T,49.186209714,20.153922180,2178.8,,
T,49.185192217,20.153785789,2174.9,,
T,49.184606462,20.153482889,2124.3,,
T,49.184019320,20.153405852,2097.8,,
T,49.182846706,20.152878862,2076.1,,
T,49.181821418,20.152848056,2065.7,,
T,49.181088582,20.152829679,2071.8,,
T,49.180216960,20.152875366,2085.0,,
T,49.179350233,20.153177634,2107.4,,
T,49.178625060,20.153657659,2142.5,,
T,49.178035768,20.154290968,2140.9,,
T,49.177299224,20.155144898,2115.1,,
T,49.176703007,20.155295305,2091.7,,
T,49.175961893,20.156359920,2041.1,,
T,49.175520294,20.156794556,2025.1,,
T,49.174932107,20.157683857,2045.9,,
T,49.174361314,20.158421220,2073.0,,
T,49.173651285,20.159628804,2112.4,,
T,49.172675200,20.161145658,2194.1,,
T,49.172132389,20.162178764,2265.8,,
T,49.171595611,20.162996541,2301.2,,
T,49.171008483,20.164077042,2307.2,,
T,49.170296415,20.165888641,2346.1,,
T,49.169546139,20.167363862,2277.3,,
T,49.169093707,20.168870736,2247.1,,
T,49.168381945,20.170012479,2280.4,,
T,49.167939789,20.170659150,2273.9,,
T,49.167337408,20.172160485,2269.0,,
T,49.167032157,20.172572478,2257.4,,
T,49.166406671,20.173812914,2224.5,,
T,49.166250024,20.174906310,2159.7,,
T,49.165767316,20.175932370,2102.7,,
T,49.165467697,20.177033471,2099.1,,
T,49.165350989,20.177979576,2136.7,,
T,49.165389086,20.178939121,2180.8,,
T,49.165136378,20.179895313,2224.7,,
T,49.165059776,20.181118735,2291.9,,
T,49.164805611,20.182502897,2341.3,,
T,49.164341729,20.184007311,2303.6,,
T,49.163707029,20.185481753,2249.8,,
T,49.163385486,20.186772496,2213.5,,
T,49.162576774,20.188676942,2144.6,,
T,49.162121197,20.190217046,2151.4,,
T,49.161819298,20.191321817,2144.4,,
T,49.161316319,20.192373152,2077.0,,
T,49.161123876,20.193449717,2033.3,,
T,49.160927752,20.194751618,1992.4,,
T,49.160737113,20.195838333,1968.4,,
T,49.160392244,20.196923236,1936.3,,
T,49.160367830,20.198032181,1903.6,,
T,49.160343713,20.198917652,1880.3,,
T,49.160147098,20.200240149,1844.9,,
T,49.160114100,20.201124629,1821.7,,
T,49.160072983,20.202006570,1798.3,,
T,49.160013293,20.203563027,1747.9,,
T,49.159940237,20.205573590,1689.0,,
T,49.159894749,20.206922762,1644.6,,
T,49.159843484,20.208502024,1605.9,,
T,49.159980002,20.209183799,1598.7,,
T,49.160102029,20.210319456,1580.8,,
T,49.160714115,20.211010773,1593.7,,
T,49.161160420,20.211925982,1592.7,,
T,49.161757828,20.213070589,1596.3,,
T,49.162526259,20.213761769,1620.1,,
T,49.163109624,20.214675742,1621.4,,
T,49.163933151,20.215586053,1531.7,,
T,49.164586615,20.216499650,1424.1,,
T,49.165428251,20.217192003,1351.8,,
