T,49.174395332,20.055687685,1940.1,,
T,49.174438532,20.055807809,1938.4,,
T,49.174605334,20.056107965,1940.7,,
T,49.174729892,20.056349755,1947.0,,
T,49.174814411,20.056655414,1943.5,,
T,49.174858279,20.056962975,1936.5,,
T,49.174980726,20.057207536,1931.2,,
T,49.175064719,20.057577211,1931.3,,
T,49.175140005,20.057890100,1940.1,,
T,49.175214075,20.058265866,1953.5,,
T,49.175328356,20.058702744,1965.8,,
T,49.175402526,20.059077891,1966.8,,
T,49.175530630,20.059508515,1962.6,,
T,49.175617450,20.059941202,1956.8,,
T,49.175745849,20.060373619,1953.0,,
T,49.175790307,20.060684064,1954.2,,
T,49.175834423,20.060932445,1956.7,,
T,49.175959131,20.061305222,1957.1,,
T,49.176040817,20.061679542,1957.8,,
T,49.176039877,20.061930027,1958.7,,
T,49.176080498,20.062179919,1959.7,,
T,49.176161912,20.062492084,1960.2,,
T,49.176199481,20.062867664,1956.6,,
T,49.176193851,20.063368733,1957.4,,
T,49.176269173,20.063869169,1963.9,,
T,49.176331441,20.064494134,1971.5,,
T,49.176341262,20.065116565,1993.5,,
T,49.176327847,20.065671269,2021.0,,
T,49.176225940,20.066268038,2070.1,,
T,49.176241608,20.066798888,2139.7,,
T,49.176216755,20.067390512,2199.3,,
T,49.176372187,20.068117616,2179.3,,
T,49.176435824,20.068550255,2149.9,,
T,49.176579581,20.068986232,2135.6,,
T,49.176634122,20.069236004,2133.0,,
T,49.176595457,20.069418231,2131.3,,
T,49.176558156,20.069296778,2130.3,,
T,49.176501528,20.068985343,2133.5,,
T,49.176432020,20.068488317,2153.9,,
T,49.176324822,20.067933268,2194.0,,
T,49.176302005,20.067271978,2189.7,,
T,49.176341991,20.066682176,2116.6,,
T,49.176468424,20.066035699,2044.4,,
T,49.176501487,20.065241382,2001.4,,
T,49.176451209,20.064556516,1974.1,,
T,49.176351911,20.063868890,1964.6,,
T,49.176278516,20.063305504,1958.2,,
T,49.176243590,20.062679163,1958.5,,
T,49.176081205,20.061992054,1958.6,,
T,49.175958896,20.061367834,1957.4,,
T,49.175833000,20.060807807,1955.7,,
T,49.175660615,20.060126703,1954.4,,
T,49.175488733,20.059447603,1963.2,,
T,49.175406608,20.058826761,1967.3,,
T,49.175293933,20.058264401,1955.4,,
T,49.175263468,20.057698506,1939.2,,
T,49.175218757,20.057078766,1936.3,,
T,49.175130970,20.056525048,1943.2,,
T,49.175122407,20.056095436,1947.4,,
T,49.175103789,20.055550270,1958.4,,
T,49.175072560,20.055017940,1980.9,,
T,49.175050061,20.054728138,1994.8,,
T,49.175026024,20.054441050,2008.7,,
T,49.175017068,20.053992826,2033.9,,
T,49.174976571,20.053725707,2062.6,,
T,49.174983669,20.053512030,2081.5,,
T,49.175002622,20.053287232,2090.4,,
T,49.175052996,20.052887547,2106.9,,
T,49.175171091,20.052882186,2114.3,,
T,49.175385521,20.053220946,2110.2,,
T,49.175582170,20.053665662,2076.5,,
T,49.175906163,20.054316971,2034.8,,
T,49.176174414,20.054996879,2004.3,,
T,49.176550483,20.056068695,1981.6,,
T,49.176771402,20.057114128,1998.9,,
T,49.177069613,20.058397316,1955.1,,
T,49.177343985,20.059766301,1953.0,,
T,49.177344216,20.060018423,1953.0,,
T,49.177556756,20.061275432,1953.0,,
T,49.177846585,20.062725377,1953.0,,
T,49.177927044,20.063863808,1973.0,,
T,49.178031655,20.065243572,2022.8,,
T,49.178069256,20.066352469,2070.1,,
T,49.178074309,20.067189664,2119.3,,
T,49.178152883,20.067845806,2170.9,,
T,49.178219814,20.068564019,2215.2,,
T,49.178410408,20.069233674,2207.5,,
T,49.178591820,20.069474120,2215.6,,
T,49.178590984,20.069352175,2216.8,,
T,49.178443295,20.069049399,2213.3,,
