T,49.198789924,20.205077362,2516.6,,,
T,49.198636669,20.204873136,2503.3,,,
T,49.198375657,20.204870371,2483.3,,,
T,49.198114672,20.204971563,2465.0,,,
T,49.197957388,20.204852087,2439.6,,,
T,49.197885199,20.204648672,2420.6,,,
T,49.197681026,20.204666914,2396.1,,,
T,49.197520779,20.204460653,2371.5,,,
T,49.197346736,20.204362770,2355.7,,,
T,49.197153035,20.204368543,2334.8,,,
T,49.197117412,20.204114866,2327.2,,,
T,49.196887870,20.204049093,2293.4,,,
T,49.196683112,20.203964231,2270.9,,,
T,49.196509511,20.203759107,2240.9,,,
T,49.196326158,20.203751480,2225.6,,,
T,49.196176361,20.203805292,2220.1,,,
T,49.196074090,20.203623754,2206.7,,,
T,49.195882049,20.203829556,2210.8,,,
T,49.195589097,20.204053427,2217.0,,,
T,49.195280151,20.204408038,2232.0,,,
T,49.194912804,20.204754394,2252.8,,,
T,49.194569098,20.205191059,2290.2,,,
T,49.193968616,20.205944325,2353.3,,,
T,49.193678819,20.206262074,2326.1,,,
T,49.193496241,20.206266933,2300.3,,,
T,49.193352599,20.206320963,2275.7,,,
T,49.193149318,20.206429505,2248.4,,,
T,49.193007745,20.206554383,2230.8,,,
T,49.192856849,20.206604043,2212.6,,,
T,49.192660442,20.206776812,2183.5,,,
T,49.192520421,20.206899974,2161.9,,,
T,49.192213349,20.207306271,2191.9,,,
T,49.192081927,20.207682074,2165.7,,,
T,49.192006592,20.208079289,2147.2,,,
T,49.191921581,20.208387121,2133.7,,,
T,49.191883373,20.208730229,2126.6,,,
T,49.191826613,20.209012019,2108.3,,,
T,49.191796252,20.209271176,2088.7,,,
T,49.191719889,20.209651702,2064.2,,,
T,49.191594718,20.210156878,2075.3,,,
T,49.191422043,20.210752467,2099.3,,,
T,49.191310516,20.211288391,2146.1,,,
T,49.191111776,20.211839609,2182.9,,,
T,49.190879493,20.212444808,2262.8,,,
T,49.190778989,20.212813299,2299.4,,,
T,49.190644834,20.213386675,2288.6,,,
T,49.190576666,20.214007265,2284.4,,,
T,49.190592515,20.214366926,2282.3,,,
T,49.190626313,20.214772198,2272.7,,,
T,49.190637687,20.214907140,2269.5,,,
T,49.190680021,20.215232147,2260.2,,,
T,49.190723942,20.215554999,2247.8,,,
T,49.190790531,20.215780933,2233.6,,,
T,49.190903489,20.216109541,2217.3,,,
T,49.191022753,20.216361918,2202.0,,,
T,49.191163236,20.216590317,2185.7,,,
T,49.191312757,20.216809708,2185.4,,,
T,49.191458517,20.217034930,2184.0,,,
T,49.191694407,20.217395303,2164.8,,,
T,49.191848819,20.217614803,2154.2,,,
T,49.191910772,20.217702873,2151.2,,,
T,49.192034995,20.217879468,2142.8,,,
T,49.192227468,20.217997590,2152.4,,,
T,49.192452367,20.218160888,2141.6,,,
T,49.192613779,20.218308819,2136.4,,,
T,49.192892230,20.218564729,2112.9,,,
T,49.193395216,20.218844941,2050.2,,,
T,49.193607506,20.218951009,2023.7,,,
T,49.193792750,20.219081087,2001.1,,,
T,49.194071178,20.219284445,1980.1,,,
T,49.194213131,20.219461189,1978.3,,,
T,49.194400786,20.219756532,1978.4,,,
T,49.194572396,20.219916035,1979.9,,,
T,49.194870621,20.220275579,1981.5,,,
T,49.195061323,20.220423760,1986.1,,,
T,49.195181733,20.220629543,1986.8,,,
T,49.195522649,20.220887615,1995.6,,,
T,49.195701256,20.220974050,2002.6,,,
T,49.195830616,20.221023773,2008.5,,,
T,49.196039357,20.221087207,2034.5,,,
T,49.196191705,20.221044744,2057.9,,,
T,49.196422776,20.221170562,2098.7,,,
T,49.196683208,20.221273283,2143.1,,,
T,49.196884635,20.221345256,2196.4,,,
T,49.197060640,20.221513267,2231.6,,,
T,49.197281701,20.221722612,2253.2,,,
T,49.197439605,20.221904071,2249.0,,,
T,49.197564832,20.221958848,2261.5,,,
T,49.197752571,20.222040970,2288.2,,,
T,49.197877663,20.222095686,2304.3,,,
T,49.198063013,20.222179350,2324.9,,,
T,49.198227069,20.222128846,2342.1,,,
T,49.198392686,20.222077195,2361.0,,,
T,49.198603021,20.222142374,2387.7,,,
T,49.198723908,20.222125274,2398.9,,,
T,49.198825786,20.222047322,2406.5,,,
T,49.199194857,20.221992723,2420.3,,,
T,49.199379975,20.221927439,2417.3,,,
T,49.199698154,20.221837684,2411.9,,,
T,49.199899591,20.221837760,2414.8,,,
T,49.200226676,20.221667260,2431.2,,,
T,49.200361655,20.221642351,2436.3,,,
T,49.200640691,20.221432429,2458.7,,,
T,49.207257170,20.216546456,1596.3,,,
T,49.207497012,20.216186091,1594.0,,,
T,49.207721808,20.215562717,1592.6,,,
T,49.207866166,20.215270791,1590.1,,,
T,49.207766450,20.214890000,1591.7,,,
T,49.207771846,20.214519927,1593.6,,,
T,49.207824501,20.214112604,1601.4,,,
T,49.207663381,20.213779976,1612.7,,,
T,49.207531973,20.213334676,1633.1,,,
T,49.207312325,20.213052879,1647.2,,,
T,49.206990660,20.212675753,1695.0,,,
T,49.206777743,20.212489343,1722.1,,,
T,49.206503344,20.212355688,1768.2,,,
T,49.206144686,20.212114855,1812.6,,,
T,49.206004367,20.211695488,1830.3,,,
T,49.205847695,20.211469606,1840.4,,,
T,49.205721360,20.211218296,1852.0,,,
T,49.205572624,20.210896466,1871.2,,,
T,49.205517389,20.210498515,1886.7,,,
T,49.205370203,20.210177334,1895.1,,,
T,49.205223426,20.209857046,1905.7,,,
T,49.205083429,20.209444011,1921.9,,,
T,49.204794999,20.208984931,1937.1,,,
T,49.204584773,20.208639201,1952.0,,,
T,49.204380153,20.208290601,1971.5,,,
T,49.204140085,20.207973760,1991.9,,,
T,49.203925358,20.207461552,2015.4,,,
T,49.203763192,20.207077056,2034.0,,,
T,49.203659849,20.206725627,2044.4,,,
T,49.203461465,20.206467300,2049.6,,,
T,49.203103022,20.206009033,2061.5,,,
