T,49.157332734,20.133164002,2215.6,,
T,49.157434152,20.133516832,2228.7,,
T,49.157576174,20.133868297,2256.3,,
T,49.157634325,20.134149327,2282.0,,
T,49.157798571,20.134638408,2321.6,,
T,49.157933214,20.134985837,2354.4,,
T,49.157993652,20.135331636,2372.7,,
T,49.158112602,20.135607323,2365.3,,
T,49.158200087,20.135952047,2350.1,,
T,49.158330240,20.136229771,2339.9,,
T,49.158591060,20.136648981,2323.0,,
T,49.158713549,20.136930638,2282.5,,
T,49.158928759,20.137354734,2266.9,,
T,49.159108886,20.137706394,2266.6,,
T,49.159241577,20.138127831,2269.9,,
T,49.159392936,20.138475314,2289.0,,
T,49.159431849,20.138754735,2284.3,,
T,49.159540297,20.139030987,2291.1,,
T,49.159577200,20.139309501,2302.3,,
T,49.159735286,20.139854845,2353.8,,
T,49.159829103,20.140194110,2367.0,,
T,49.159892277,20.140466129,2365.1,,
T,49.160003865,20.140739905,2360.4,,
T,49.160081571,20.141085241,2355.1,,
T,49.160270216,20.141564372,2394.7,,
T,49.160448809,20.141847238,2389.8,,
T,49.160557625,20.142066073,2371.7,,
T,49.160726233,20.142293263,2334.9,,
T,49.160984200,20.142611776,2289.3,,
T,49.161171696,20.142708971,2263.8,,
T,49.161482129,20.142752256,2246.2,,
T,49.161764127,20.142942785,2229.3,,
T,49.161987737,20.143127306,2219.0,,
T,49.162297647,20.143640436,2195.3,,
T,49.162637141,20.144248648,2143.8,,
T,49.162611384,20.144403826,2130.0,,
T,49.162400355,20.144051555,2167.9,,
T,49.162229103,20.143628737,2197.7,,
T,49.161856426,20.143107112,2219.8,,
T,49.161553568,20.142464149,2258.0,,
T,49.161338544,20.141919579,2298.4,,
T,49.161082441,20.141382264,2343.5,,
T,49.160898330,20.140806189,2388.6,,
T,49.160748927,20.140243818,2428.1,,
T,49.160656967,20.139825827,2422.6,,
T,49.160582081,20.139481559,2406.8,,
T,49.160455505,20.139065478,2399.7,,
T,49.160343042,20.138582946,2394.6,,
T,49.160270132,20.138238193,2392.6,,
T,49.160151567,20.137823139,2400.4,,
T,49.160094630,20.137405488,2413.8,,
T,49.159945740,20.136987816,2417.5,,
T,49.159857085,20.136501309,2413.6,,
T,49.159737587,20.136155426,2428.7,,
T,49.159631089,20.135742931,2454.2,,
T,49.159612364,20.135330775,2470.3,,
T,49.159633503,20.134986175,2458.0,,
T,49.159620826,20.134640118,2436.8,,
T,49.159610702,20.134292521,2437.1,,
T,49.159576444,20.133872157,2429.6,,
T,49.159569738,20.133590122,2425.7,,
T,49.159563003,20.133306770,2403.7,,
T,49.159486943,20.132880089,2371.6,,
T,49.159413881,20.132519992,2352.7,,
T,49.159258525,20.132086822,2320.7,,
T,49.159185089,20.131791766,2296.5,,
T,49.159139945,20.131792745,2296.1,,
T,49.159068736,20.131494800,2271.8,,
T,49.158996979,20.131194598,2237.5,,
T,49.158883501,20.130820478,2192.3,,
T,49.158738707,20.130597840,2162.3,,
T,49.158507618,20.130231421,2078.9,,
T,49.158342042,20.130086837,2067.2,,
T,49.158250201,20.130233119,2063.6,,
T,49.158219664,20.130531452,2074.7,,
T,49.158217650,20.130833303,2116.6,,
T,49.158281719,20.131209684,2174.7,,
T,49.158284017,20.131659128,2197.3,,
T,49.158323896,20.132314309,2230.1,,
T,49.158428374,20.133096096,2289.6,,
T,49.158440822,20.133941655,2300.3,,
T,49.158545246,20.134777785,2338.4,,
T,49.158671937,20.135537748,2395.9,,
T,49.158802522,20.136020074,2403.5,,
T,49.159047672,20.136576633,2364.9,,
T,49.159298522,20.136996683,2341.7,,
T,49.159515413,20.137345530,2344.1,,
T,49.159758429,20.137762316,2361.0,,
T,49.160059361,20.138244329,2370.6,,
T,49.160308600,20.138653496,2390.1,,
T,49.160644950,20.139062044,2419.6,,
T,49.160883663,20.139336944,2447.7,,
T,49.161245563,20.139483082,2492.6,,
T,49.161570981,20.139709896,2475.2,,
T,49.162020262,20.139808028,2454.2,,
T,49.162502489,20.139924143,2398.3,,
